Customer_ID,account_age_months,avg_order_value,total_orders,days_since_last_purchase,discount_usage_rate,return_rate,customer_support_tickets,loyalty_member,browsing_frequency_per_week,cart_abandonment_rate,product_review_score_avg,engagement_score,satisfaction_score,price_sensitivity_index,churned
11d47829-90b5-43b4-8404-7edc39ff22ee,21,26.16,16,1,0.151,0.0384,1,No,3.1,0.214,4.58,6.52,8.79,3.9,No
791f7c4d-197e-46b3-ad0e-55967242eb36,48,110.45,13,3,0.437,0.0624,0,No,5.5,0.533,4.27,7.12,9.06,5.4,No
b8578935-0c06-4128-b4e8-01ff3c23b4ea,57,74.55,15,49,0.072,0.0088,0,Yes,4.7,0.628,5,4.62,9.97,3.1,No
03318e8e-0a66-40ce-bd30-664cc9fa913a,49,113.09,1,58,0.146,0.0208,0,No,4,0.81,4.89,3.47,9.82,3.3,No
5abd051d-92d7-4bb7-9073-7fdaca60bebd,8,59.46,1,41,0.15,0.1656,2,No,4.8,0.656,3.55,4.58,6.66,3.7,No
54a4f46e-1f13-4be6-9498-51020d5ec0d2,42,44.75,11,28,0.132,0.0808,3,No,2.7,0.589,3.63,4.87,6.36,3.7,No
cbdccb6d-88fb-4be3-90ec-f7ce21975f6d,36,28.16,10,8,0.063,0.0064,0,No,3,0.833,4.32,5.93,9.3,3.3,No
8d290a64-c2e0-46e2-84e2-88dbf9b45676,29,55.54,1,7,0.232,0.1448,0,No,4.9,0.607,4.35,6.32,8.87,4.3,No
2491994c-e4f5-4e20-938d-8e3f2d238ad4,53,92.51,1,9,0.15,0.0816,0,No,0,0.561,2.85,4.58,7.58,3.5,No
69ab8a54-f6ad-4f93-8aa2-ed57111981f6,39,57,10,5,0.269,0.0152,1,No,7.3,0.427,5,7.52,9.28,4.5,No
45682f98-5a30-408c-8e33-81638e9d5962,34,70.37,26,10,0.227,0.0208,1,No,4,0.806,3.94,6.7,8.2,4.2,No
9db4df33-a9e5-4c35-92a5-e18cf7280d77,22,46.9,1,15,0.256,0.0432,0,No,1.9,0.637,2.91,4.92,7.77,4.5,No
7c5260b3-79ee-4eaa-9e03-4e55d30acbc2,55,27.63,28,24,0.309,0.02,0,Yes,3.8,0.891,4.33,6,9.26,5,No
699dc04e-c1d2-4444-b49a-411ffcb703c0,31,190.85,1,25,0.218,0.028,1,No,5.7,0.587,5,5.68,9.24,3.4,No
6d62661f-2fd2-48b5-8ef0-35fa0b64d75a,28,46.14,22,45,0.385,0.3016,1,No,7.6,0.999,3.8,6.02,7.13,5.4,No
72f96501-0c76-4498-864f-5e71196c291b,35,131.91,18,27,0.034,0.0128,1,No,4.1,0.27,3.11,5.62,7.4,2.4,No
a3b7cf40-7d11-4790-8d99-6cf2796f19f0,34,26.17,1,5,0.199,0.1504,2,No,0.3,0.678,3.18,4.88,6.35,4.2,No
8bb79204-f5ff-4c45-9f28-3b5e44e4e68a,13,28.19,7,21,0.415,0.024,0,No,3.7,0.224,5,5.42,9.92,5.7,No
ceb32aa3-622f-41ff-b50d-095982dff2e2,41,54.45,21,22,0.194,0.0376,0,No,0,0.715,3.98,4.6,8.85,4,No
8692fff2-6ffb-4f50-a595-6e6c3424abf2,4,53.79,2,35,0.255,0.2704,1,No,0.3,0.737,3.46,3.42,6.89,4.5,No
c85706ca-da9a-4454-bb37-37e57551d239,43,78.45,22,129,0.399,0.0576,1,Yes,0.7,0.54,4.43,1,8.57,5.3,Yes
64538ef7-3b3b-4638-b03c-8270db704d32,6,31.99,1,33,0.171,0.044,1,No,0.3,0.414,2.94,3.48,7.13,4,Yes
76d70e62-95b1-418c-8d1e-0312e1f317f0,1,67.75,1,13,0.221,0.1752,2,No,0.6,0.285,3.43,4.58,6.51,4.1,No
f9da6bab-bd1c-47cd-ae60-6a030d14b99b,12,108.72,10,33,0.319,0.1528,2,No,7.4,0.631,3.03,6.15,6.19,4.6,No
6459d22e-c35e-447d-af62-0044d41cd322,35,180.54,27,46,0.25,0.0152,0,Yes,1.1,0.877,4.14,3.97,9.09,3.7,No
b8346df1-be02-4118-905d-931fd1e5e174,59,69.19,1,11,0.182,0.0272,2,No,5.1,0.668,4.24,6.18,7.82,3.9,No
ab9a5c89-8f75-47d3-a30a-39c42431a7c1,11,68.17,9,15,0.267,0.0712,3,No,5.2,0.771,3.18,6.28,5.94,4.5,No
8a6e016e-8b86-4a0a-8bab-7575be08f75a,23,45.74,18,20,0.15,0.2376,3,Yes,5.5,0.706,2.38,6.43,4.59,3.8,No
dc4105da-5658-43ff-9853-13539c2e8df4,14,44.14,1,51,0.396,0.092,2,Yes,6.3,0.737,3.68,4.58,7.04,5.5,No
2c94d11a-b1aa-4595-892c-d4a8f2c6ab3b,19,122.82,5,6,0.207,0.0048,1,No,2.3,0.596,5,5.63,9.32,3.7,No
e5a9b6e3-1d31-45fd-bae5-60baa7e7a1cf,37,53.95,10,10,0.408,0.0896,1,No,3.1,0.564,3.09,5.87,7.12,5.5,No
ea3d4ee1-c783-44b3-8c99-acc2d250c9d8,16,58.22,5,39,0.156,0.0056,0,No,1.3,0.54,4.96,3.65,9.94,3.7,No
e27d7b20-25b3-4ff0-b88b-a7ccb7b78f96,44,96.81,12,21,0.193,0.0016,0,No,9,0.68,4.18,7.35,9.17,3.8,No
7b363fbf-9486-4e0d-9e01-2f4b52b1cc89,28,189.07,1,51,0.317,0.0672,3,No,0,0.455,4.17,2.48,6.95,4.1,Yes
8c1ff1d4-75a8-4a2e-9288-13f9ab4979d5,45,166.89,1,11,0.424,0.044,0,Yes,0.1,0.653,3.76,4.52,8.61,5,No
e44f7319-90da-4768-a764-9e66f6c0be73,31,92.74,24,17,0.56,0.0392,1,No,2.9,0.376,4.93,5.92,9.13,6.4,No
9253f6fc-8ef6-44ad-b34a-3c8a6811d05f,53,54.75,14,12,0.336,0.0312,0,Yes,0,0.347,3.86,4.87,8.76,5,No
ce296bf5-2912-40d6-b386-85f97849a5c2,7,137.94,1,5,0.463,0.1848,1,No,3.2,0.9,5,5.85,8.72,5.4,No
27198475-c259-4626-8b01-616af90d4666,46,33.27,1,1,0.339,0.1112,3,No,3.8,0.633,2.19,6.25,4.82,5.2,No
b0b8e332-e904-4d07-a612-e0c432c7ce81,52,44.42,27,47,0.07,0.0728,1,No,5,0.611,4.53,5.22,8.62,3.2,No
7bb27d94-e332-4802-8f6c-baef0be95257,27,51.38,1,40,0.313,0.1,0,No,5.1,0.476,3.36,4.73,8.03,4.9,No
ce331f32-0557-4b56-b791-2e437191a8bd,17,103.54,9,8,0.6,0.0016,1,No,0.5,0.666,4.23,5.07,8.56,6.6,No
5753b50a-b697-4d53-a78d-98687e9d18c0,7,137.76,2,164,0.136,0.0704,3,No,0,0.355,3.32,1,6.09,3.1,Yes
b95a8097-0147-453f-82b4-c96ef664ffc5,15,19.32,1,11,0.309,0.0752,0,No,3.5,0.587,3.88,5.65,8.63,5,No
a82e2092-f32b-400a-bd68-5ebb82a9a508,53,49.37,27,50,0.033,0.1376,1,No,4.7,0.925,2.97,4.97,6.84,2.9,No
2114c75a-8904-48e2-b7cf-50783cbe0c23,40,89.13,11,13,0.522,0.0632,0,No,3.3,0.617,3.01,5.82,7.8,6.1,No
2c96dd89-9249-42bb-80fb-b183fe4c8c64,12,48.31,7,16,0.351,0.14,1,No,4.6,0.677,3.39,5.97,7.26,5.2,No
e616cc54-be72-446a-9467-0660d655eeac,55,23.35,28,4,0.068,0.0136,1,No,3.3,0.663,2.57,6.83,6.86,3.3,No
45361d48-4110-4646-966e-6f8739c4f424,8,26.65,7,100,0.196,0.0048,0,No,4.2,0.776,4.35,1.63,9.33,4.2,Yes
b02e6e78-fb3b-48c9-a1f0-51b7fbb24110,2,75.57,1,1,0.125,0.004,1,No,3.8,0.564,3.7,6.25,8.02,3.4,No
b44406ee-a3bd-4bb5-ae73-2b0b57a675b5,44,44.41,1,19,0.077,0.2704,1,No,0,0.528,3.83,4.08,7.26,3.3,No
ba12e902-65cf-45cc-90e1-2bb1932104a1,59,62.68,15,61,0.491,0.0688,1,No,1.5,0.396,2.71,2.95,6.81,6.1,Yes
246e2643-42a0-4a41-953e-d14f4fe5f2cf,38,58.91,1,43,0.179,0.0568,1,No,2.5,0.946,3.64,3.72,7.78,3.9,No
4b07e105-9f6e-4fb2-80bf-dd2722225a09,56,42.62,1,16,0.33,0.0224,0,No,2.7,0.867,4.96,5.13,9.89,5.1,No
73cf0cea-5b2e-4956-9025-5e29fbffa2de,26,42.21,20,8,0.245,0.0312,1,Yes,3.8,0.574,4.44,6.53,8.67,4.5,No
94b9467c-5e4c-4c11-b243-8365d393b010,51,34.73,1,32,0.45,0.0736,1,No,2.7,0.535,4.61,4.33,8.7,5.9,No
31124630-b9bb-48f5-b9ad-e7c0787db08a,21,34.77,1,43,0.224,0.0624,2,No,1.6,0.761,4,3.42,7.46,4.4,Yes
91667819-9dcf-4f49-9359-8844584079c7,57,112.04,15,54,0.297,0.036,0,No,1.1,0.748,3.72,3.17,8.6,4.4,Yes
a9efc644-e479-4794-aa52-bcfd2abd4e67,50,56.49,13,3,0.075,0.004,0,Yes,2.7,0.827,4.84,6.18,9.83,3.2,No
933c0867-20ca-4b20-b343-550af8d3ae30,13,50.97,4,47,0.365,0.084,0,No,1.5,0.372,4.11,3.28,8.83,5.2,No
f30603e6-c94e-41e5-88a8-73683281f75b,19,53.44,15,31,0.412,0.148,2,No,4.2,0.313,3.4,5.35,6.57,5.6,No
524fd972-8d54-45a3-b35f-6f627d23c209,18,43.51,1,7,0.452,0.0192,0,Yes,3.3,0.721,4.75,5.78,9.69,5.9,No
b65ac0b5-fb2b-4573-9d7e-20b8c3a24ad7,2,79.69,1,29,0.313,0.0744,1,No,2.9,0.812,4.19,4.55,8.28,4.7,No
8d859239-4012-4b9e-bbb6-ec9046015a29,52,94.23,40,6,0.119,0.1048,0,Yes,2.3,0.615,3.41,6.8,8.06,3.3,No
6e1749b7-7f22-4e78-b089-fdcfe94a9319,45,13.06,12,69,0.248,0.224,2,Yes,2.2,0.632,4,2.68,6.92,4.7,Yes
7722df96-e734-4cf4-a4e0-a185fa4dfee1,54,49.11,28,30,0.537,0.0464,2,No,5.1,0.521,3.8,6.13,7.31,6.5,No
6c853ba2-e383-4117-8540-5713aee8b0f5,42,56.52,1,32,0.143,0.1192,3,No,0,0.674,3.21,3.43,5.81,3.7,Yes
4d632358-7e74-4ba9-81e2-db392246c14f,49,70.11,13,10,0.692,0.124,1,No,0.5,0.544,3.91,5.1,7.83,7.4,No
114358d7-796f-47e3-a64e-91573ce7c906,57,75.37,1,16,0.218,0.1824,1,No,2.6,0.927,3.15,5.1,6.88,4.1,No
429f5d47-0582-448f-83f9-0b97360e1b3b,28,140.37,8,47,0.176,0.064,0,No,6.7,0.657,3.71,5.15,8.5,3.4,No
451ee749-0a8b-4c59-bc18-a977391906e2,50,209.63,1,15,0.337,0.0944,1,No,3.7,0.492,5,5.52,9.02,4.1,No
218bc9f9-ddc4-4490-b9ef-0bfeef2bc605,23,155.21,6,22,0.252,0.0248,1,No,6.9,0.353,2.87,6.4,7.12,3.8,No
10cf32b9-a07b-4098-b460-d4cef8dae17f,4,50.81,2,33,0.259,0.0776,0,No,5.7,0.244,4.66,5.32,9.4,4.5,No
8bc7479a-c25c-4481-8449-ba438af29e62,4,60.81,1,18,0.085,0.0096,1,No,2.9,0.791,4.27,5.1,8.57,3.2,No
fbc9619d-a5fb-4815-ae39-e2848790fdc9,12,95.42,1,9,0.191,0.084,0,No,3,0.537,3.46,5.58,8.18,3.8,No
1b360fda-e118-4bca-8161-608beb43cdf0,22,41.21,6,30,0.731,0.0072,1,No,2.5,0.503,3.59,4.53,7.9,7.9,No
a0e88d9b-b92e-4f45-9cee-8435b2a26a7e,26,210.31,1,46,0.177,0.0992,1,No,5.4,0.628,4.6,4.53,8.6,3,No
5a217825-b986-4b00-8e00-9146c164cfaa,40,46.37,21,1,0.147,0.0952,2,No,3.9,0.971,3.01,6.95,6.36,3.8,No
dc81e146-0b41-4c82-86e3-599111135ea1,42,50.5,1,152,0.295,0.0568,1,No,4.6,0.625,4.14,1.57,8.28,4.8,Yes
11b3cb6a-572e-43c1-867e-28fd976b67c9,35,332.24,9,26,0.477,0.0888,1,Yes,2,0.837,4.49,4.67,8.53,4.3,No
35c454e1-e082-493a-ba31-71ba2579fed5,4,121.05,3,24,0.201,0.0592,2,Yes,3,0.926,3.68,4.9,7.15,3.7,No
9745cd43-d9c0-4786-8dca-a4e29169b8ba,12,54.42,4,12,0.063,0.036,2,No,4.3,0.731,3.44,5.97,6.99,3.1,No
0399fc6d-d289-4717-83e5-36e5c44b41bf,4,52.08,2,45,0.315,0.0056,1,No,3,0.603,3.52,3.82,7.83,4.9,No
b829e273-dca6-441f-b3ed-4093bef603de,52,167.23,1,47,0.292,0.0312,2,No,5.1,0.844,3.85,4.38,7.41,4,No
e559263f-bf94-4d18-b70b-d4a5690ad0e4,57,131.56,1,28,0.292,0.0312,0,No,0.7,0.569,4.28,3.87,9.18,4.3,No
b830ba1b-a5ff-4248-b9b1-1b29dd38f3ae,31,64.5,8,0,0.113,0.0032,0,No,0,0.548,4.69,5.27,9.68,3.4,No
6bc0327d-5891-495a-89af-b3bd43adf59a,7,89.03,1,16,0.414,0.1872,0,No,3.6,0.765,5,5.43,9.38,5.4,No
6e3afefb-55a1-4164-92ed-2d05ad700bd7,10,350.17,3,68,0.208,0.2728,3,No,3.1,0.83,3.73,2.73,5.82,2.4,Yes
13a5c029-bc6e-4d41-8fb9-9ba3f2203d99,24,35.3,13,26,0.043,0.0368,0,No,4.7,0.344,4.97,5.7,9.85,3.1,No
a172aa48-0dc6-4e1c-b436-b4f88d038e38,15,74.17,4,47,0.269,0.0296,0,No,3.2,0.713,4.16,3.85,9.06,4.4,No
b5afbae6-7370-458f-be6d-43b4c345a45c,39,110.51,10,50,0.331,0.052,0,No,5.1,0.182,3.74,4.53,8.57,4.7,No
28204d17-88d5-4d58-b7e9-2bb9e8465947,20,43.64,1,17,0.089,0.0072,1,No,6.4,0.473,3.03,6.32,7.34,3.4,No
dc3f7024-062e-427b-9e52-25209ba53bc4,58,87.66,1,10,0.421,0.0112,4,No,1.5,0.532,3.51,5.03,5.81,5.4,No
46b8c02f-a6c4-4777-b00f-fdd7ffa6e6c2,7,67.17,1,59,0.06,0.0408,1,Yes,4,0.355,3.93,3.42,8.13,3,No
c37afc10-f85f-433a-ac03-ebe098fb89ed,13,84.32,4,10,0.115,0.108,1,No,3.8,0.298,4.06,5.9,8.03,3.3,No
f27ce8bf-203c-44e3-90e8-31c284da06d5,55,24.85,1,1,0.119,0.0424,1,No,2.8,0.794,2.38,5.92,6.57,3.7,No
ee84439d-9bef-4084-9aac-2f8775b0c3ac,28,151.35,1,34,0.556,0.0192,0,No,4.3,0.597,4.84,4.77,9.78,6,No
4331537a-2e76-41d2-8f1b-38394a442b64,39,169.91,10,13,0.416,0.0248,0,Yes,1.6,0.514,5,5.22,9.92,4.9,No
f736d70c-4537-42bf-bb67-c7a62bf9db9f,18,100.68,14,23,0.143,0.1104,1,Yes,5.3,0.303,4.41,6.08,8.38,3.4,No
4f299fd1-c8cf-47bb-bdf1-7345fe34f93d,47,56.4,12,36,0.268,0.0672,0,Yes,3.4,0.843,5,4.73,9.78,4.5,No
9d410f1d-81cb-4d6c-932c-83acd79f95ed,11,22.4,3,31,0.436,0.02,2,No,7.7,0.749,3.28,6.12,6.88,5.9,No
3458aaeb-c92b-49eb-a3c7-ba3db08d1781,36,151.31,28,82,0.635,0.1952,1,No,3.7,0.885,4.35,3.07,8.03,6.5,Yes
c1db5e7f-9644-4da5-bfaf-ee9a41f0babb,53,74.11,1,82,0.344,0.22,0,No,3.5,0.747,2.89,2.1,7.16,5,Yes
895daad7-b9b9-4b65-bdf8-fd2258fd5714,36,28.23,10,116,0.126,0.0024,0,No,3.5,0.618,4.49,1.5,9.48,3.7,Yes
6d7844b8-e67b-434b-bebc-ffa2c90cf4a1,2,41.47,1,26,0.334,0.016,0,No,5.5,0.446,5,5.57,9.95,5.1,No
510d84d2-bed5-4203-9d78-eb2579a7a0b7,48,93.51,25,5,0.275,0.052,0,No,4.7,0.627,3.52,7.15,8.35,4.4,No
9f4c385e-2481-4638-aeeb-c43eae4aa176,46,24.23,12,30,0.639,0.0656,0,No,4.5,0.537,3.86,5.4,8.64,7.3,No
d5cd6b3a-d085-4bc7-b19d-e432d8c319d3,17,27.45,9,35,0.185,0.0696,0,No,4.3,0.747,3.05,4.98,7.82,4.1,No
d31a218c-f9d0-4497-8c2b-365e0fba7218,6,29.07,2,8,0.356,0.0368,2,No,4.2,0.394,5,6.07,8.54,5.3,No
48e26850-fc38-4bda-a963-1c0a5a0060a7,41,69.44,21,18,0.346,0.0496,1,No,4.2,0.471,4.1,6.2,8.27,5,No
81208985-7f73-47d5-a8d2-8949e2afc867,46,87.69,12,4,0.15,0.064,0,Yes,4.6,0.438,4.86,6.73,9.65,3.5,No
59c1350d-930f-4d6f-a8d9-9a2e3cc8cc81,23,110.46,12,16,0.353,0.1096,4,No,3.7,0.762,2.86,5.83,4.83,4.8,No
058fbfc7-3cdd-4e8b-a2a0-8f63ba6b0806,47,129.76,1,8,0.161,0.0048,1,No,3.9,0.378,3.91,5.93,8.23,3.3,No
26f649fe-bbaf-4ccd-b9f9-a03cdf6767b2,16,142.6,1,254,0.666,0.0488,0,No,3,0.62,5,1.03,9.84,6.8,Yes
ac2305eb-d9cb-4d0e-a59b-e06dfd42d449,60,125.51,1,33,0.401,0.0504,2,No,0.3,0.246,3.69,3.48,7.19,5.1,No
4ebee040-85a1-498c-8470-3f6524ea7b8c,41,102.8,11,5,0.45,0.0912,0,No,3,0.711,4.79,6.12,9.49,5.5,No
33766958-9400-418c-b73a-413ddbc00ef7,26,103.2,14,118,0.314,0.0376,0,No,4.8,0.644,2.16,2.07,7.03,4.6,Yes
ee368f92-4104-4db9-9a44-d7ba80f760f9,46,128.71,24,5,0.346,0.0088,0,No,4.6,0.513,3.89,7.08,8.86,4.6,No
435fb956-88ee-4cc9-b1de-3ee0c2c70ce5,50,78.52,13,28,0.443,0.0104,1,No,4.6,0.718,5,5.57,9.3,5.6,No
3ea6259e-dea2-41ca-98d9-c0b3e8a7a38a,1,35.77,1,17,0.334,0.1552,0,No,6.6,0.209,4.59,6.38,9.07,5.1,No
51a7f15a-8ea5-495f-a139-8e9eaa40628d,36,28.88,19,25,0.146,0.0488,1,Yes,2.4,0.608,2.87,5.18,7.04,3.8,No
9af7b150-4c2a-4caf-8f16-229cbced21c7,30,62.7,8,28,0.038,0.112,0,No,9.1,0.89,4.98,6.9,9.61,2.9,No
5c79b576-87f8-4fef-85ef-0b69f827e19f,2,27.74,1,4,0.087,0.0176,1,No,4.3,0.487,4.2,6.27,8.47,3.4,No
5f58ca72-181c-446d-9000-acaed5f1dc28,20,21.59,21,16,0.172,0.0472,0,No,5.2,0.796,3.49,6.63,8.33,4.1,No
2375bf40-d884-42e8-a6bc-b4bd2fd60b60,5,27.74,1,5,0.133,0.0256,1,No,0,0.756,4.36,4.78,8.61,3.8,No
b8b7c6b3-c764-48c0-a99c-90e734791ac5,31,29.51,8,6,0.396,0.0384,1,No,3.8,0.518,2.62,6.23,6.83,5.6,No
555f18a4-f974-4fe1-aeb0-1972c96f68e1,8,57.57,3,21,0.33,0.044,0,No,0.6,0.223,5,4.25,9.85,5,No
846f0fca-1ac7-4fa6-b440-3671ad09deff,30,56.78,1,2,0.607,0.1072,1,No,4.5,0.712,4.12,6.43,8.1,6.9,No
e62a5c08-e33e-44f5-81d2-63ffe214cf7a,39,47.64,1,5,0.2,0.0632,0,No,3.4,0.374,4.03,5.92,8.82,4.1,No
87c35180-d217-48ff-9f68-6c592f66d7e9,2,43.25,1,21,0.328,0.0384,1,No,0,0.471,3.9,3.98,8.11,5,No
ed687999-83ce-469d-8105-dfedaca10fe0,53,16.43,14,37,0.137,0.06,2,No,6.3,0.436,2.57,5.72,6.04,3.9,No
24d8aad3-662a-490c-9982-1fd3ebe18fad,13,60.28,7,64,0.305,0.0792,1,Yes,4.9,0.75,3.64,3.67,7.71,4.8,No
c09057b3-2bff-4d99-a631-c7a16758890a,4,128.08,2,24,0.181,0.0008,0,No,2.3,0.748,2.68,4.63,7.68,3.5,No
10109bdb-616f-4a77-b47e-8fe159136f17,45,51.7,1,7,0.056,0.2224,1,No,0.1,0.695,4.1,4.72,7.69,3.1,No
0cd2f527-fc00-449d-b9ff-5f1c642a467a,52,80.67,14,42,0.215,0.0264,1,No,5.7,0.296,4.96,5.27,9.21,4,No
a40d7dfa-40e6-4fd3-8223-fe8b3e374246,8,132.67,1,24,0.554,0.0056,1,No,4.9,0.7,3.16,5.47,7.47,6.1,No
f667f867-9a80-40df-aa4b-1ae8ccee9de2,39,62.2,10,4,0.294,0.0728,0,No,3.1,0.774,3.13,6.17,7.89,4.7,No
50114b04-66c0-4427-9a8f-212e63335b6c,25,56.8,7,16,0.182,0.0232,2,No,0,0.285,3.89,4.43,7.48,3.9,No
823b2257-10c2-48fe-b615-dd68ac12524a,7,39.43,1,106,0.312,0.0464,1,No,2.8,0.747,4.03,1,8.21,4.9,Yes
6bf36d34-66d3-45c7-85b2-6f68cefd0fb2,14,96.31,4,50,0.322,0.1056,0,No,4,0.848,4.44,3.97,9.09,4.7,No
ae75525f-949d-4c19-aeaf-7f6c33558235,29,34.75,15,32,0.198,0.2392,2,Yes,0,0.597,2.81,3.9,5.68,4.2,No
aaaf0ba6-6c20-42ce-a99e-c3c4b125cbc4,45,25.44,1,26,0.24,0.0024,2,No,3.9,0.546,2.98,5.03,6.64,4.5,No
1321d9ee-a93d-421c-86a9-f6fa3b89230b,21,29.86,6,21,0.504,0.0296,2,No,3.8,0.436,3.25,5.42,6.82,6.3,No
c806980a-9828-4c7e-aed4-337177941778,37,102.79,1,81,0.448,0.096,0,No,3.1,0.517,4.93,2.02,9.61,5.5,Yes
fa264e16-6fac-4665-b584-cb0f7cdbaddc,56,51.42,29,25,0.263,0.036,1,No,1.6,0.333,3.85,5.25,8.06,4.5,No
00b74e79-d86a-456a-b534-d907843404a8,49,114.32,37,14,0.07,0.0136,0,Yes,4.1,0.599,3.58,6.9,8.53,2.8,No
76abdb1d-5bdb-4b0e-b8a8-3d5347d29aea,33,66.51,1,12,0.204,0.0168,1,No,0,0.657,3.57,4.43,7.85,4,No
